Feature,Importance
area,0.9986497302058999
house_age_score,0.0002329969926712316
age,0.00022787933332475233
room_density,0.00018156340633950437
bedrooms,0.00012937318321322973
parking_per_room,0.00010534223175261429
location_urban,0.00010000509580615824
total_rooms,8.820403778693384e-05
bathrooms,7.549675800572244e-05
furnishing_semi-furnished,5.5698275327825664e-05
parking,4.398675770960118e-05
furnishing_unfurnished,3.966843080666414e-05
floors,3.6549027193629515e-05
location_suburban,3.350626416216725e-05
